Instance_name, number words, number types, TTR, Letters per word, number paragraphs, number of sentences, number of words per sentence,determiners,demonstratives,number of pronouns,first person pronouns,second person pronouns,third person pronouns,conjuncts,connectives,negations,future
dev_029,385,208,0.54025974,3.703896104,1,35,11,0.083116883,0.018181818,0.109090909,0.062337662,0.033766234,0.012987013,0.002597403,0.033766234,0.018181818,0
dev_030,166,112,0.674698795,3.319277108,1,19,8.736842105,0.06626506,0.006024096,0.054216867,0.036144578,0.006024096,0.012048193,0,0.036144578,0.012048193,0.006024096
dev_031,160,110,0.6875,3.81875,1,18,8.888888889,0.03125,0.00625,0.0625,0.05,0.00625,0.00625,0,0.0125,0.01875,0.0125
dev_032,104,65,0.625,3.057692308,1,8,13,0.009615385,0,0.057692308,0.057692308,0,0,0,0.038461538,0.009615385,0
dev_033,359,185,0.515320334,3.495821727,1,20,17.95,0.050139276,0.005571031,0.142061281,0.125348189,0.008356546,0.008356546,0.002785515,0.036211699,0.011142061,0.016713092
dev_034,176,109,0.619318182,3.369318182,1,19,9.263157895,0.051136364,0,0.073863636,0.051136364,0.017045455,0.005681818,0,0.011363636,0.028409091,0.005681818
dev_035,295,162,0.549152542,3.6,1,22,13.40909091,0.091525424,0.013559322,0.081355932,0.047457627,0,0.033898305,0,0.020338983,0.016949153,0.010169492
dev_036,301,173,0.574750831,3.664451827,1,21,14.33333333,0.079734219,0.003322259,0.109634551,0.066445183,0.013289037,0.029900332,0.006644518,0.026578073,0.003322259,0.003322259
dev_037,259,145,0.55984556,3.27027027,1,23,11.26086957,0.065637066,0.007722008,0.084942085,0.030888031,0.046332046,0.007722008,0,0.034749035,0.007722008,0.015444015
dev_038,274,160,0.583941606,3.317518248,1,24,11.41666667,0.040145985,0.003649635,0.135036496,0.098540146,0.025547445,0.010948905,0,0.01459854,0.010948905,0
dev_039,126,82,0.650793651,2.968253968,1,13,9.692307692,0.047619048,0,0.087301587,0.071428571,0,0.015873016,0,0.031746032,0,0
dev_040,228,143,0.627192982,3.675438596,1,25,9.12,0.070175439,0.013157895,0.114035088,0.070175439,0.035087719,0.00877193,0,0.01754386,0.013157895,0.00877193
dev_041,154,100,0.649350649,3.402597403,1,16,9.625,0.058441558,0.006493506,0.071428571,0.038961039,0.025974026,0.006493506,0,0.012987013,0.012987013,0.006493506
dev_042,92,57,0.619565217,2.380434783,1,11,8.363636364,0.02173913,0,0.054347826,0,0.054347826,0,0,0.02173913,0.010869565,0.010869565
dev_043,162,103,0.635802469,3.234567901,1,12,13.5,0.055555556,0.012345679,0.080246914,0.030864198,0.012345679,0.037037037,0,0.043209877,0.012345679,0.00617284
dev_044,162,105,0.648148148,3.148148148,1,18,9,0.049382716,0.00617284,0.086419753,0.030864198,0.049382716,0.00617284,0,0.024691358,0.00617284,0.012345679
dev_045,377,207,0.549071618,3.856763926,1,46,8.195652174,0.063660477,0.026525199,0.127320955,0.098143236,0.015915119,0.013262599,0,0.023872679,0.00795756,0.00265252
dev_046,115,74,0.643478261,2.782608696,1,12,9.583333333,0.008695652,0.008695652,0.069565217,0.052173913,0.008695652,0.008695652,0,0.026086957,0,0.008695652
dev_047,113,82,0.725663717,3.592920354,1,17,6.647058824,0.026548673,0,0.07079646,0.044247788,0.008849558,0.017699115,0,0.026548673,0.008849558,0
dev_048,85,57,0.670588235,2.588235294,1,13,6.538461538,0.023529412,0.011764706,0.011764706,0,0.011764706,0,0,0.023529412,0,0
dev_049,123,87,0.707317073,3.008130081,1,10,12.3,0.040650407,0.024390244,0.073170732,0.06504065,0,0.008130081,0,0.008130081,0,0
dev_050,462,228,0.493506494,3.787878788,1,44,10.5,0.093073593,0.021645022,0.123376623,0.090909091,0.025974026,0.006493506,0,0.025974026,0.019480519,0.008658009
dev_051,481,246,0.511434511,3.67983368,1,34,14.14705882,0.076923077,0.012474012,0.112266112,0.081081081,0.024948025,0.006237006,0.002079002,0.020790021,0.008316008,0.008316008
dev_052,98,58,0.591836735,2.704081633,1,10,9.8,0.010204082,0,0.06122449,0.051020408,0,0.010204082,0,0,0.051020408,0
dev_053,213,130,0.610328638,3.399061033,1,15,14.2,0.093896714,0.014084507,0.084507042,0.042253521,0.004694836,0.037558685,0,0.018779343,0,0.009389671
dev_054,113,76,0.672566372,3.053097345,1,13,8.692307692,0.03539823,0,0.044247788,0.017699115,0.017699115,0.008849558,0,0.017699115,0.008849558,0
dev_055,258,148,0.573643411,3.496124031,1,25,10.32,0.050387597,0.015503876,0.112403101,0.096899225,0,0.015503876,0,0.03875969,0.023255814,0.015503876
dev_056,150,105,0.7,3.733333333,1,15,10,0.033333333,0,0.06,0.026666667,0.013333333,0.02,0,0.02,0,0
dev_057,1104,419,0.379528986,3.742753623,1,81,13.62962963,0.070652174,0.013586957,0.171195652,0.148550725,0.014492754,0.008152174,0,0.031702899,0.018115942,0.009057971
dev_058,203,129,0.63546798,3.551724138,1,21,9.666666667,0.078817734,0.009852217,0.078817734,0.044334975,0.004926108,0.02955665,0,0.024630542,0.004926108,0.019704433
dev_059,236,141,0.597457627,3.516949153,1,18,13.11111111,0.084745763,0.012711864,0.06779661,0.050847458,0.016949153,0,0,0.033898305,0.004237288,0.008474576
dev_060,316,174,0.550632911,3.765822785,1,25,12.64,0.07278481,0,0.110759494,0.079113924,0,0.03164557,0,0.015822785,0.015822785,0.003164557
test_001,356,201,0.564606742,3.511235955,1,38,9.368421053,0.061797753,0.030898876,0.16011236,0.112359551,0.028089888,0.019662921,0,0.02247191,0.02247191,0.019662921
test_002,369,206,0.558265583,3.693766938,1,32,11.53125,0.073170732,0.01897019,0.124661247,0.094850949,0,0.029810298,0,0.021680217,0.005420054,0.008130081
test_003,176,124,0.704545455,3.522727273,1,20,8.8,0.051136364,0,0.0625,0.034090909,0.005681818,0.022727273,0,0.022727273,0.017045455,0
test_004,300,191,0.636666667,3.9,1,26,11.53846154,0.08,0.016666667,0.086666667,0.056666667,0.026666667,0.003333333,0,0.03,0.006666667,0.006666667
test_005,149,110,0.738255034,3.838926175,1,21,7.095238095,0.060402685,0.006711409,0.060402685,0.020134228,0.013422819,0.026845638,0.006711409,0.020134228,0.006711409,0.006711409
test_006,620,308,0.496774194,3.617741935,1,65,9.538461538,0.061290323,0.022580645,0.153225806,0.10483871,0.020967742,0.027419355,0.003225806,0.033870968,0.017741935,0.020967742
test_007,236,145,0.61440678,3.56779661,1,27,8.740740741,0.072033898,0,0.097457627,0.06779661,0.008474576,0.021186441,0,0.038135593,0.004237288,0.012711864
test_008,149,100,0.67114094,3.758389262,1,25,5.96,0.033557047,0.006711409,0.046979866,0.040268456,0.006711409,0,0,0.020134228,0,0
test_009,523,235,0.449330784,4.017208413,1,14,37.35714286,0.095602294,0.017208413,0.066921606,0.03250478,0.026768642,0.007648184,0.001912046,0.028680688,0.026768642,0.003824092
test_010,174,107,0.614942529,3.114942529,1,21,8.285714286,0.08045977,0.022988506,0.103448276,0.040229885,0.063218391,0,0,0.011494253,0.011494253,0.017241379
test_011,612,294,0.480392157,3.85620915,1,72,8.5,0.058823529,0.014705882,0.119281046,0.078431373,0.009803922,0.031045752,0,0.04248366,0.013071895,0.006535948
test_012,178,117,0.657303371,3.573033708,1,19,9.368421053,0.02247191,0.011235955,0.101123596,0.084269663,0.011235955,0.005617978,0,0.050561798,0.016853933,0.005617978
test_013,341,178,0.521994135,3.551319648,1,22,15.5,0.058651026,0.008797654,0.117302053,0.090909091,0.002932551,0.023460411,0,0.035190616,0.008797654,0.002932551
test_014,229,140,0.611353712,3.742358079,1,25,9.16,0.034934498,0.017467249,0.096069869,0.061135371,0,0.034934498,0,0.03930131,0.004366812,0.008733624
test_015,255,155,0.607843137,3.615686275,1,24,10.625,0.082352941,0.007843137,0.082352941,0.054901961,0,0.02745098,0,0.039215686,0.011764706,0.003921569
test_016,559,274,0.490161002,3.899821109,1,52,10.75,0.069767442,0.01431127,0.141323792,0.084078712,0.035778175,0.021466905,0,0.048300537,0.01431127,0.01431127
test_017,184,113,0.614130435,3.423913043,1,16,11.5,0.054347826,0.010869565,0.092391304,0.081521739,0.005434783,0.005434783,0,0.010869565,0,0
test_018,666,258,0.387387387,3.987987988,1,10,66.6,0.111111111,0.016516517,0.07957958,0.054054054,0.010510511,0.015015015,0,0.013513514,0.028528529,0.003003003
test_019,263,158,0.600760456,3.44486692,1,22,11.95454545,0.076045627,0.007604563,0.095057034,0.045627376,0.045627376,0.003802281,0,0.022813688,0.011406844,0.015209125
test_020,211,134,0.63507109,3.535545024,1,21,10.04761905,0.047393365,0.004739336,0.137440758,0.066350711,0.023696682,0.047393365,0.004739336,0.037914692,0.004739336,0.004739336
test_021,21,19,0.904761905,3.571428571,1,4,5.25,0,0,0.142857143,0.095238095,0.047619048,0,0,0,0.047619048,0
test_022,324,175,0.540123457,3.595679012,1,38,8.526315789,0.083333333,0.027777778,0.111111111,0.098765432,0.012345679,0,0,0.049382716,0.009259259,0.00308642
test_023,407,197,0.484029484,3.761670762,1,7,58.14285714,0.105651106,0.017199017,0.093366093,0.031941032,0.056511057,0.004914005,0,0.022113022,0.034398034,0.012285012
test_024,357,204,0.571428571,3.736694678,1,37,9.648648649,0.086834734,0.005602241,0.114845938,0.058823529,0.011204482,0.044817927,0,0.028011204,0.005602241,0.005602241
test_025,135,83,0.614814815,4.303703704,1,15,9,0.02962963,0,0.192592593,0.140740741,0.007407407,0.044444444,0,0.081481481,0.02962963,0.007407407
test_026,333,177,0.531531532,3.576576577,1,18,18.5,0.084084084,0.012012012,0.096096096,0.06006006,0.03003003,0.006006006,0,0.039039039,0.012012012,0.009009009
test_027,344,186,0.540697674,3.444767442,1,38,9.052631579,0.081395349,0.011627907,0.13372093,0.095930233,0.01744186,0.020348837,0.005813953,0.031976744,0.00872093,0.002906977
test_028,133,84,0.631578947,3.54887218,1,15,8.866666667,0.037593985,0.022556391,0.157894737,0.15037594,0.007518797,0,0,0.067669173,0.007518797,0.015037594
test_029,154,105,0.681818182,3,1,18,8.555555556,0.025974026,0,0.136363636,0.116883117,0.006493506,0.012987013,0,0.025974026,0.006493506,0.006493506
test_030,279,148,0.53046595,3.516129032,1,27,10.33333333,0.068100358,0.010752688,0.075268817,0.05734767,0.003584229,0.014336918,0,0.032258065,0.007168459,0.007168459
test_031,199,128,0.64321608,3.633165829,1,20,9.95,0.065326633,0.010050251,0.060301508,0.025125628,0.015075377,0.020100503,0,0.035175879,0.010050251,0
test_032,159,106,0.666666667,3.308176101,1,20,7.95,0.044025157,0,0.106918239,0.088050314,0.012578616,0.006289308,0,0.025157233,0.018867925,0.006289308
test_033,579,279,0.481865285,3.525043178,1,63,9.19047619,0.058721934,0.013816926,0.172711572,0.119170984,0.008635579,0.044905009,0,0.031088083,0.018998273,0.006908463
test_034,361,209,0.578947368,3.689750693,1,42,8.595238095,0.055401662,0.016620499,0.119113573,0.085872576,0.022160665,0.011080332,0,0.008310249,0.008310249,0.002770083
test_035,200,129,0.645,3.64,1,24,8.333333333,0.035,0.01,0.105,0.07,0.015,0.02,0,0.01,0.02,0.01
test_036,465,241,0.51827957,3.898924731,1,48,9.6875,0.04516129,0.017204301,0.109677419,0.058064516,0.034408602,0.017204301,0.004301075,0.053763441,0.015053763,0.012903226
test_037,167,112,0.670658683,3.383233533,1,20,8.35,0.035928144,0,0.077844311,0.053892216,0.005988024,0.017964072,0,0.017964072,0.02994012,0.011976048
test_038,112,75,0.669642857,3.169642857,1,18,6.222222222,0.053571429,0.017857143,0.017857143,0.008928571,0.008928571,0,0,0,0.017857143,0
test_039,441,204,0.462585034,4.058956916,1,9,49,0.058956916,0.020408163,0.108843537,0.063492063,0.036281179,0.009070295,0,0.024943311,0.036281179,0.009070295
test_040,172,117,0.680232558,3.511627907,1,19,9.052631579,0.040697674,0,0.104651163,0.058139535,0.034883721,0.011627907,0,0.01744186,0,0
test_041,386,211,0.546632124,3.764248705,1,38,10.15789474,0.090673575,0.007772021,0.088082902,0.051813472,0.025906736,0.010362694,0.005181347,0.020725389,0.015544041,0
test_042,373,215,0.576407507,3.780160858,1,28,13.32142857,0.080428954,0.013404826,0.08847185,0.050938338,0.029490617,0.008042895,0,0.032171582,0.010723861,0.002680965
test_043,242,138,0.570247934,3.400826446,1,18,13.44444444,0.070247934,0.008264463,0.107438017,0.037190083,0.05785124,0.012396694,0,0.041322314,0.012396694,0.020661157
test_044,87,57,0.655172414,2.643678161,1,9,9.666666667,0.034482759,0,0.034482759,0.022988506,0,0.011494253,0,0,0,0
test_045,338,186,0.550295858,3.538461538,1,23,14.69565217,0.071005917,0.00887574,0.130177515,0.103550296,0.00295858,0.023668639,0.00295858,0.047337278,0.014792899,0.00295858
test_046,931,374,0.401718582,4.042964554,1,25,37.24,0.109559613,0.020408163,0.082706767,0.048335124,0.020408163,0.01396348,0,0.020408163,0.016111708,0.005370569
test_047,1007,402,0.399205561,3.743793446,1,93,10.82795699,0.094339623,0.017874876,0.142999007,0.103277061,0.017874876,0.021847071,0,0.035749752,0.011916584,0.017874876
test_048,1128,480,0.425531915,3.730496454,1,87,12.96551724,0.079787234,0.018617021,0.155141844,0.109929078,0.009751773,0.035460993,0.000886525,0.039007092,0.016843972,0.013297872
test_049,127,81,0.637795276,3.338582677,1,16,7.9375,0.015748031,0,0.086614173,0.078740157,0,0.007874016,0,0.023622047,0,0
test_050,639,242,0.378716745,3.788732394,1,11,58.09090909,0.090766823,0.023474178,0.118935837,0.076682316,0.026604069,0.015649452,0.001564945,0.018779343,0.03599374,0.010954617
test_051,401,219,0.546134663,3.456359102,1,48,8.354166667,0.044887781,0.009975062,0.139650873,0.094763092,0.012468828,0.032418953,0,0.027431421,0.032418953,0.007481297
test_052,210,136,0.647619048,3.480952381,1,30,7,0.038095238,0.004761905,0.114285714,0.095238095,0.014285714,0.004761905,0.004761905,0.033333333,0.00952381,0.00952381
test_053,222,144,0.648648649,3.806306306,1,26,8.538461538,0.058558559,0.009009009,0.067567568,0.022522523,0.040540541,0.004504505,0,0.013513514,0.009009009,0.013513514
test_054,318,180,0.566037736,3.588050314,1,25,12.72,0.06918239,0.022012579,0.132075472,0.094339623,0.022012579,0.01572327,0,0.031446541,0.012578616,0.006289308
train_001,193,112,0.580310881,3.533678756,1,22,8.772727273,0.088082902,0.020725389,0.088082902,0.025906736,0.046632124,0.015544041,0,0.020725389,0,0.010362694
train_002,105,70,0.666666667,2.933333333,1,9,11.66666667,0.019047619,0,0.028571429,0.00952381,0,0.019047619,0,0.00952381,0.028571429,0
train_003,267,153,0.573033708,3.550561798,1,21,12.71428571,0.063670412,0.014981273,0.127340824,0.059925094,0.052434457,0.014981273,0,0.018726592,0.011235955,0.014981273
train_004,629,308,0.489666137,3.79809221,1,73,8.616438356,0.07154213,0.009538951,0.117647059,0.090620032,0.009538951,0.017488076,0.001589825,0.055643879,0.031796502,0.004769475
train_005,296,176,0.594594595,3.831081081,1,42,7.047619048,0.054054054,0.010135135,0.10472973,0.047297297,0.033783784,0.023648649,0,0.02027027,0.027027027,0.013513514
train_006,136,84,0.617647059,2.941176471,1,14,9.714285714,0.058823529,0.014705882,0.058823529,0.044117647,0.014705882,0,0,0.022058824,0.007352941,0.007352941
train_007,99,61,0.616161616,3.282828283,1,10,9.9,0,0,0.080808081,0.080808081,0,0,0,0,0,0
train_008,483,252,0.52173913,3.728778468,1,40,12.075,0.091097308,0.010351967,0.093167702,0.066252588,0.004140787,0.022774327,0,0.026915114,0.016563147,0.008281573
train_009,259,174,0.671814672,4.092664093,1,53,4.886792453,0.034749035,0.007722008,0.077220077,0.05019305,0.003861004,0.023166023,0.003861004,0.015444015,0.011583012,0.007722008
train_010,337,193,0.572700297,3.919881306,1,49,6.87755102,0.089020772,0.005934718,0.080118694,0.047477745,0.017804154,0.014836795,0.005934718,0.03264095,0.017804154,0
train_011,155,112,0.722580645,3.503225806,1,16,9.6875,0.090322581,0.019354839,0.083870968,0.070967742,0.006451613,0.006451613,0,0.04516129,0.012903226,0.006451613
train_012,151,93,0.61589404,2.920529801,1,19,7.947368421,0.052980132,0.006622517,0.119205298,0.046357616,0.072847682,0,0,0.026490066,0,0.006622517
train_013,246,150,0.609756098,3.74796748,1,29,8.482758621,0.085365854,0,0.044715447,0.036585366,0,0.008130081,0,0.028455285,0.004065041,0.004065041
train_014,161,105,0.652173913,3.459627329,1,12,13.41666667,0.043478261,0.01242236,0.136645963,0.086956522,0.037267081,0.01242236,0,0.049689441,0.02484472,0.01242236
train_015,865,403,0.465895954,3.753757225,1,128,6.7578125,0.068208092,0.006936416,0.174566474,0.102890173,0.013872832,0.057803468,0,0.040462428,0.004624277,0.006936416
train_016,137,88,0.642335766,3.284671533,1,12,11.41666667,0.04379562,0.01459854,0.094890511,0.065693431,0.02189781,0.00729927,0,0.051094891,0,0.00729927
train_017,155,105,0.677419355,3.064516129,1,19,8.157894737,0.032258065,0,0.103225806,0.070967742,0.006451613,0.025806452,0,0.019354839,0,0.012903226
train_018,181,102,0.563535912,3.944751381,1,29,6.24137931,0.060773481,0,0.104972376,0.033149171,0.071823204,0,0,0.011049724,0.005524862,0.016574586
train_019,275,153,0.556363636,3.501818182,1,32,8.59375,0.08,0.010909091,0.105454545,0.050909091,0.036363636,0.018181818,0,0.04,0,0.003636364
train_020,262,151,0.576335878,3.435114504,1,15,17.46666667,0.091603053,0.011450382,0.091603053,0.076335878,0,0.015267176,0,0.045801527,0.015267176,0
train_021,210,131,0.623809524,3.30952381,1,22,9.545454545,0.047619048,0.004761905,0.10952381,0.057142857,0.052380952,0,0.004761905,0.019047619,0.019047619,0.014285714
train_022,273,147,0.538461538,3.413919414,1,22,12.40909091,0.062271062,0.007326007,0.157509158,0.087912088,0.04029304,0.029304029,0,0.032967033,0.021978022,0.014652015
train_023,249,144,0.578313253,3.341365462,1,21,11.85714286,0.044176707,0.008032129,0.140562249,0.100401606,0.008032129,0.032128514,0,0.048192771,0.020080321,0
train_024,339,216,0.637168142,4.091445428,1,66,5.136363636,0.07079646,0.014749263,0.112094395,0.079646018,0.017699115,0.014749263,0,0.038348083,0.005899705,0.008849558
train_025,224,136,0.607142857,3.625,1,21,10.66666667,0.0625,0.004464286,0.09375,0.058035714,0.03125,0.004464286,0,0.026785714,0.013392857,0.004464286
train_026,173,120,0.693641618,3.601156069,1,22,7.863636364,0.075144509,0.005780347,0.121387283,0.052023121,0.034682081,0.034682081,0,0.034682081,0.023121387,0.011560694
train_027,184,125,0.679347826,3.885869565,1,36,5.111111111,0.065217391,0.02173913,0.076086957,0.043478261,0.010869565,0.02173913,0,0.005434783,0.027173913,0.005434783
train_028,220,128,0.581818182,3.422727273,1,13,16.92307692,0.081818182,0.013636364,0.127272727,0.068181818,0.059090909,0,0,0.05,0.009090909,0.009090909
train_029,300,198,0.66,4.27,1,78,3.846153846,0.066666667,0.013333333,0.083333333,0.063333333,0.003333333,0.016666667,0,0.026666667,0,0.013333333
train_030,211,127,0.601895735,3.355450237,1,22,9.590909091,0.052132701,0.009478673,0.118483412,0.061611374,0.028436019,0.028436019,0,0.014218009,0.014218009,0.004739336
train_031,151,91,0.602649007,3.231788079,1,18,8.388888889,0.052980132,0.006622517,0.099337748,0.033112583,0.066225166,0,0,0.01986755,0,0.006622517
train_032,166,101,0.608433735,3.228915663,1,21,7.904761905,0.036144578,0,0.096385542,0.036144578,0.060240964,0,0,0.036144578,0.006024096,0.006024096
train_033,320,190,0.59375,3.621875,1,42,7.619047619,0.06875,0.015625,0.128125,0.090625,0.009375,0.028125,0.003125,0.03125,0.003125,0.0125
train_034,159,108,0.679245283,3.270440252,1,17,9.352941176,0.031446541,0,0.119496855,0.100628931,0.012578616,0.006289308,0,0.031446541,0.006289308,0.012578616
train_035,663,322,0.485671192,3.823529412,1,50,13.26,0.076923077,0.013574661,0.107088989,0.084464555,0.004524887,0.018099548,0.003016591,0.036199095,0.015082956,0.007541478
train_036,250,146,0.584,3.384,1,22,11.36363636,0.048,0.016,0.132,0.108,0.008,0.016,0,0.04,0.016,0.012
train_037,269,162,0.602230483,3.73605948,1,24,11.20833333,0.055762082,0.007434944,0.085501859,0.074349442,0.003717472,0.007434944,0,0.048327138,0.014869888,0.007434944
train_038,308,172,0.558441558,3.808441558,1,35,8.8,0.068181818,0.012987013,0.123376623,0.055194805,0.035714286,0.032467532,0,0.035714286,0.006493506,0
train_039,349,212,0.607449857,3.76217765,1,31,11.25806452,0.068767908,0.005730659,0.103151862,0.063037249,0.017191977,0.022922636,0,0.020057307,0.00286533,0.005730659
train_040,361,243,0.673130194,4.371191136,1,84,4.297619048,0.058171745,0.013850416,0.060941828,0.03601108,0.016620499,0.008310249,0,0.022160665,0.002770083,0.011080332
train_041,297,162,0.545454545,3.494949495,1,20,14.85,0.063973064,0.01010101,0.141414141,0.121212121,0.006734007,0.013468013,0,0.043771044,0.006734007,0
train_042,238,138,0.579831933,3.676470588,1,18,13.22222222,0.050420168,0.025210084,0.130252101,0.096638655,0.004201681,0.029411765,0,0.029411765,0.012605042,0.004201681
train_043,186,104,0.559139785,3.215053763,1,16,11.625,0.064516129,0.010752688,0.107526882,0.021505376,0.080645161,0.005376344,0,0.021505376,0.010752688,0.016129032
train_044,81,64,0.790123457,5.320987654,1,17,4.764705882,0.12345679,0.012345679,0.074074074,0.024691358,0.037037037,0.012345679,0,0.012345679,0,0.012345679
train_045,182,119,0.653846154,3.428571429,1,13,14,0.027472527,0.005494505,0.093406593,0.082417582,0.005494505,0.005494505,0,0.016483516,0.010989011,0.021978022
train_046,80,53,0.6625,2.475,1,9,8.888888889,0.025,0.0125,0.0375,0.0125,0.0125,0.0125,0,0,0.0125,0
train_047,233,129,0.553648069,3.798283262,1,26,8.961538462,0.064377682,0.017167382,0.128755365,0.051502146,0.072961373,0.004291845,0,0.042918455,0.004291845,0.030042918
train_048,94,55,0.585106383,2.723404255,1,6,15.66666667,0.010638298,0,0.021276596,0,0.021276596,0,0,0.021276596,0.010638298,0
train_049,158,101,0.639240506,3.164556962,1,12,13.16666667,0.063291139,0.012658228,0.050632911,0.044303797,0,0.006329114,0,0.03164557,0,0
train_050,488,260,0.532786885,3.842213115,1,80,6.1,0.06352459,0.016393443,0.133196721,0.110655738,0.008196721,0.014344262,0.00204918,0.043032787,0.010245902,0.012295082
train_051,210,152,0.723809524,3.928571429,1,36,5.833333333,0.076190476,0.00952381,0.104761905,0.057142857,0.028571429,0.019047619,0,0.038095238,0.004761905,0.004761905
train_052,20,18,0.9,4.8,1,7,2.857142857,0,0,0.1,0.05,0.05,0,0,0,0,0.05
train_053,257,146,0.568093385,3.595330739,1,34,7.558823529,0.062256809,0.003891051,0.13618677,0.097276265,0.023346304,0.015564202,0,0.015564202,0.019455253,0.023346304
train_054,381,187,0.490813648,3.380577428,1,33,11.54545455,0.060367454,0.015748031,0.149606299,0.112860892,0.002624672,0.034120735,0,0.026246719,0.023622047,0.007874016
train_055,169,109,0.644970414,3.331360947,1,18,9.388888889,0.047337278,0.017751479,0.076923077,0.041420118,0.029585799,0.00591716,0,0.029585799,0.023668639,0.00591716
train_056,296,187,0.631756757,4.22972973,1,49,6.040816327,0.02027027,0.013513514,0.118243243,0.077702703,0.013513514,0.027027027,0,0.043918919,0.003378378,0.016891892
